Method,Removed (%),Scene score ↑,Collision@fault ↓ (%),Offroad ↓ (%),Progress ↑ (ratio)
Dense,0.0,0.7496,4.0,7.0,0.7467
Wanda,24.0,0.6212,14.7,9.3,0.6922
LLM-Pruner,24.0,0.8105,5.7,3.7,0.8108
Týr-the-Pruner,24.0,0.7864,3.0,8.7,0.7943
Traj,24.0,0.7830,3.3,8.7,0.8049
CoC,24.0,0.6604,7.3,9.0,0.6849
Dual,24.0,0.8283,2.3,6.7,0.8276
Dual + MLP93.75,39.4,0.7928,3.0,8.3,0.8163
